Indicator,Measure,Year,Jan-Mar (Provisional),Apr-Jun (Provisional),Jul-Sep (Provisional),Oct-Dec (Provisional),Year-to-Date (Provisional),County,URL
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,11,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,9,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,48,57,62,64,231,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,18,9,13,25,65,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,6,<5,<5,12,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,5,3,8,6,22,Charlotte,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=8&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2018.0,10,6.0,4,5.0,25.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Drug Overdose Deaths,Count,2018.0,13,7.0,5,9.0,34.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2018.0,0,2.0,0,0.0,2.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2018.0,8,11.0,5,3.0,27.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2018.0,188,189.0,159,190.0,726.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2018.0,48,65.0,41,59.0,213.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2018.0,23,34.0,21,34.0,112.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2018.0,13,12.0,12,8.0,45.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2018.0,97,101.0,103,106.0,407.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2018.0,31,33.0,33,31.0,128.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2018.0,<5,7.0,<5,6.0,20.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2018.0,10,20.0,10,14.0,54.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2018.0,11,25.0,16,18.0,70.0,Lake,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=35&ddlYear=2018&selTab=1
Opioid Overdose Deaths,Count,2019.0,0,0,0,0,0,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Drug Overdose Deaths,Count,2019.0,0,0,1,0,1,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2019.0,1,2,0,0,3,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2019.0,2,6,9,2,19,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2019.0,5,<5,<5,<5,15,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,<5,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,11,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,<5,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2019.0,0,0,1,1,2,Fanklin,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=19&ddlYear=2019&selTab=1
Opioid Overdose Deaths,Count,2015.0,3,2,4,2,11.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,4,5,5,3,17.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,7,6,9,11,33.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,28,37,53,44,162.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,33,35,29,42,139.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,7,8,10,28.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,5,5,11.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,6.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,25,23,29,24,101.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,8,8,22.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,6.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,15.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,3,5,9,2,19.0,Monroe,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=44&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2019.0,92.0,85.0,86.0,98.0,361,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Drug Overdose Deaths,Count,2019.0,101.0,100.0,108.0,113.0,422,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2019.0,363.0,362.0,382.0,486.0,"1,593",Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2019.0,677.0,628.0,645.0,734.0,"2,684",Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2019.0,704.0,622.0,648.0,691.0,"2,665",Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,404.0,349.0,338.0,381.0,"1,472",Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,215.0,189.0,172.0,199.0,775,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,31.0,43.0,31.0,43.0,148,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2019.0,431.0,480.0,503.0,462.0,"1,876",Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2019.0,123.0,141.0,137.0,122.0,523,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2019.0,26.0,30.0,30.0,28.0,114,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2019.0,100.0,141.0,124.0,89.0,454,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2019.0,28.0,46.0,45.0,46.0,165,Duval,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=16&ddlYear=2019&selTab=1
Opioid Overdose Deaths,Count,2015.0,1,2,7,2,12,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,3,2,8,2,15,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,17,19,22,21,79,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,42,57,57,73,229,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,61,79,77,65,282,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,10,8,9,11,38,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,11,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,68,48,60,62,238,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,19,17,21,15,72,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,10,8,25,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,20,10,15,13,58,Hernando,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=27&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2016.0,17,22.0,20.0,19.0,78.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,22,24.0,22.0,24.0,92.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,0,0.0,0.0,0.0,0.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,80,259.0,46.0,55.0,440.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,204,209.0,229.0,251.0,893.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,44,61.0,78.0,91.0,274.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,8,25.0,31.0,48.0,112.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,14,10.0,7.0,13.0,44.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,183,201.0,206.0,201.0,791.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,40,56.0,62.0,69.0,227.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,5.0,11.0,11.0,31.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,13,21.0,29.0,17.0,80.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,33,36.0,32.0,37.0,138.0,Volusia,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=64&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2017.0,2,2,1,1,6,Levy,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=38&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,4,3,1,2,10,Levy,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=38&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,17,14,6,6,43,Levy,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=38&ddlYear=2017&selTab=1
